I, [2016-03-19T19:02:44.552856 #10507]  INFO -- Kitchen: -----> Starting Kitchen (v1.6.0)
E, [2016-03-19T19:02:44.553251 #10507] ERROR -- Kitchen: ------Exception-------
E, [2016-03-19T19:02:44.553294 #10507] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-03-19T19:02:44.553324 #10507] ERROR -- Kitchen: Message: Kitchen YAML file /Users/obi/projects/chef-php/recipes/.kitchen.yml does not exist.
E, [2016-03-19T19:02:44.553342 #10507] ERROR -- Kitchen: ------Backtrace-------
E, [2016-03-19T19:02:44.553356 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-03-19T19:02:44.553369 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/config.rb:149:in `data'
E, [2016-03-19T19:02:44.553381 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/config.rb:128:in `suites'
E, [2016-03-19T19:02:44.553394 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/config.rb:179:in `filter_instances'
E, [2016-03-19T19:02:44.553406 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/config.rb:138:in `build_instances'
E, [2016-03-19T19:02:44.553418 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/config.rb:114:in `instances'
E, [2016-03-19T19:02:44.553430 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-03-19T19:02:44.553443 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-03-19T19:02:44.553455 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-03-19T19:02:44.553467 #10507] ERROR -- Kitchen: /System/Library/Frameworks/Ruby.framework/Versions/2.0/usr/lib/ruby/2.0.0/benchmark.rb:281:in `measure'
E, [2016-03-19T19:02:44.553480 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/command/action.rb:37:in `call'
E, [2016-03-19T19:02:44.553492 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/cli.rb:56:in `perform'
E, [2016-03-19T19:02:44.553504 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/cli.rb:180:in `block (2 levels) in <class:CLI>'
E, [2016-03-19T19:02:44.553517 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-03-19T19:02:44.553528 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-03-19T19:02:44.553541 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/cli.rb:321:in `invoke_task'
E, [2016-03-19T19:02:44.553553 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-03-19T19:02:44.553565 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-03-19T19:02:44.553577 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/bin/kitchen:13:in `block in <top (required)>'
E, [2016-03-19T19:02:44.553589 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2016-03-19T19:02:44.553600 #10507] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.6.0/bin/kitchen:13:in `<top (required)>'
E, [2016-03-19T19:02:44.553612 #10507] ERROR -- Kitchen: /usr/local/bin/kitchen:23:in `load'
E, [2016-03-19T19:02:44.553624 #10507] ERROR -- Kitchen: /usr/local/bin/kitchen:23:in `<main>'
E, [2016-03-19T19:02:44.553636 #10507] ERROR -- Kitchen: ----------------------
